#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"86,503,057",,"1,033,571 ",,"82,527,789",,"2,941,697","2,756","258,427","3,088","1,033,745,991","3,088,309","334,728,783 ",North America,43240,,,"8,788"
2,India,"43,178,080",,"524,692 ",,"42,628,073",,"25,315",698,"30,709",373,"852,623,487","606,396","1,406,050,880 ",Asia,"332,6802",,,18
3,Brazil,"31,153,069",,"667,044 ",,"30,063,682",,"422,343","8,318","144,589","3,096","63,776,166","296,000","215,460,065 ",South America,73233,,,"1,960"
4,France,"29,621,064",,"148,464 ",,"29,035,182",,"437,418","1,173","451,880","2,265","271,490,188","4,141,678","65,550,766 ",Europe,24420,,,"6,673"
5,Germany,"26,539,842",,"139,744 ",,"25,554,500","+14,300","845,598",656,"314,833","1,658","122,332,384","1,451,186","84,298,211 ",Europe,36031,,,"10,031"
6,UK,"22,305,893",,"178,749 ",,"21,970,696","+9,041","156,448",188,"325,298","2,607","522,526,476","7,620,272","68,570,585 ",Europe,33840,,,"2,282"
7,Russia,"18,351,851","+3,786","379,520 ",+75,"17,764,261","+3,935","208,070","2,300","125,651","2,598","273,400,000","1,871,903","146,054,575 ",Europe,83851,26,0.5,"1,425"
8,S. Korea,"18,163,686","+9,835","24,258 ",+20,"17,837,506","+31,306","301,922",136,"353,696",472,"15,804,065","307,748","51,353,879 ",Asia,"32,1173",192,0.4,"5,879"
9,Italy,"17,490,451",,"166,922 ",,"16,681,659",,"641,870",218,"290,100","2,769","221,741,088","3,677,836","60,291,184 ",Europe,33610,,,"10,646"
10,Turkey,"15,072,747",,"98,965 ",,"14,971,256",,"2,526",975,"175,099","1,150","162,743,369","1,890,578","86,081,293 ",Asia,68701,,,29
11,Spain,"12,403,245",,"106,797 ",,"11,832,351",,"464,097",339,"265,086","2,282","471,036,328","10,067,129","46,789,539 ",Europe,44380,,,"9,919"
12,Vietnam,"10,724,554",,"43,080 ",,"9,496,407",,"1,185,067",41,"108,307",435,"85,818,197","866,676","99,019,922 ",Asia,"92,2991",,,"11,968"
13,Argentina,"9,230,573",,"128,889 ",,"8,895,999",,"205,685",300,"200,700","2,802","35,716,069","776,572","45,991,947 ",South America,53571,,,"4,472"
14,Japan,"8,929,654","+16,627","30,735 ",+23,"8,686,928","+27,230","211,991",77,"71,021",244,"53,235,782","423,402","125,733,370 ",Asia,"144,0912",132,0.2,"1,686"
15,Netherlands,"8,090,237",,"22,325 ",,"8,034,072","+1,669","33,840",34,"470,154","1,297","21,107,399","1,226,629","17,207,649 ",Europe,27711,,,"1,967"
16,Australia,"7,427,019","+22,253","8,751 ",+29,"7,146,454",,"271,814",93,"284,911",336,"72,258,855","2,771,951","26,067,870 ",Australia/Oceania,"42,9790",854,1,"10,427"
17,Iran,"7,232,678",,"141,328 ",,"7,054,592",,"36,758",470,"84,045","1,642","52,298,398","607,720","86,056,777 ",Asia,126092,,,427
18,Colombia,"6,109,105",,"139,867 ",,"5,938,448",,"30,790",342,"117,655","2,694","35,041,646","674,863","51,924,050 ",South America,83711,,,593
19,Indonesia,"6,056,412",,"156,610 ",,"5,896,548",,"3,254","2,771","21,702",561,"99,056,678","354,945","279,076,169 ",Asia,"461,7823",,,12
20,Poland,"6,008,550",,"116,349 ",,"5,335,496",,"556,705",408,"159,095","3,081","36,374,276","963,122","37,767,051 ",Europe,63251,,,"14,740"
21,Mexico,"5,782,405",,"324,966 ",,"5,067,591",,"389,848","4,798","43,962","2,471","16,005,640","121,685","131,533,283 ",North America,234058,,,"2,964"
22,Ukraine,"5,011,433",,"108,538 ",,N/A,N/A,N/A,177,"115,926","2,511","19,521,252","451,572","43,229,557 ",Europe,93982,,,"19,544"
23,Malaysia,"4,513,631",,"35,686 ",,"4,455,498",,"22,447",27,"136,108","1,076","60,117,956","1,812,853","33,162,077 ",Asia,79291,,,677
24,Thailand,"4,466,793","+3,236","30,174 ",+28,"4,404,369","+5,011","32,250","1,496","63,687",430,"17,270,775","246,246","70,136,188 ",Asia,"162,3244",46,0.4,460
